"GEOID","NAME","percent_asian","percent_black","percent_white","percent_other","percent_latinx","median_hhi"
"05007021405","Census Tract 214.05, Benton County, Arkansas",0.0028,0.0028,0.9451,0.0492,0.0117,69712
"05007021409","Census Tract 214.09, Benton County, Arkansas",0,0.0047,0.9583,0.037,0,73454
"05009790100","Census Tract 7901, Boone County, Arkansas",0.0073,0.0027,0.9769,0.0131,0.0419,52557
"05015950100","Census Tract 9501, Carroll County, Arkansas",0.021,0.0056,0.9172,0.0562,0.0495,42569
"05015950400","Census Tract 9504, Carroll County, Arkansas",0.0141,0.0173,0.9437,0.0248,0.0358,52123
"05025970100","Census Tract 9701, Cleveland County, Arkansas",0,0.1424,0.8371,0.0205,0.0038,47284
"05027950400","Census Tract 9504, Columbia County, Arkansas",0.0365,0.3377,0.6129,0.013,0.0296,42560
"05031000101","Census Tract 1.01, Craighead County, Arkansas",0.0038,0.1682,0.6988,0.1293,0.1347,23606
"05031000602","Census Tract 6.02, Craighead County, Arkansas",0.0591,0.3508,0.5152,0.075,0.0958,17254
"05033020301","Census Tract 203.01, Crawford County, Arkansas",0.0095,0.0206,0.8613,0.1085,0.117,50826
"05035030302","Census Tract 303.02, Crittenden County, Arkansas",0,0.8045,0.134,0.0614,0.0264,19163
"05035031200","Census Tract 312, Crittenden County, Arkansas",0.0141,0.9115,0.0521,0.0223,0,24963
"05049550100","Census Tract 5501, Fulton County, Arkansas",0.0015,0,0.9512,0.0473,0,39410
"05051012002","Census Tract 120.02, Garland County, Arkansas",0.0075,0.0023,0.9665,0.0237,0.0806,52253
"05055480100","Census Tract 4801, Greene County, Arkansas",0,0,0.9714,0.0286,0.0312,44910
"05055480801","Census Tract 4808.01, Greene County, Arkansas",0,0.002,0.9757,0.0223,0.0308,65118
"05061950100","Census Tract 9501, Howard County, Arkansas",0,0.039,0.8742,0.0868,0.0908,41000
"05075470200","Census Tract 4702, Lawrence County, Arkansas",0.0035,0,0.9852,0.0113,0.0064,42394
"05085020103","Census Tract 201.03, Lonoke County, Arkansas",0.0062,0.0194,0.9557,0.0187,0.0229,74750
"05085020800","Census Tract 208, Lonoke County, Arkansas",0,0.1651,0.8187,0.0162,0.0277,48839
"05089960300","Census Tract 9603, Marion County, Arkansas",0.0036,0,0.96,0.0365,0.0192,37778
"05091020500","Census Tract 205, Miller County, Arkansas",0,0.295,0.5328,0.1722,0.1386,29079
"05093010600","Census Tract 106, Mississippi County, Arkansas",0.023,0.3297,0.543,0.1043,0.0331,41574
"05093011000","Census Tract 110, Mississippi County, Arkansas",0,0.6907,0.251,0.0584,0.0648,24806
"05093011400","Census Tract 114, Mississippi County, Arkansas",9e-04,0.1386,0.825,0.0355,0.0297,49414
"05097953000","Census Tract 9530, Montgomery County, Arkansas",0,0.0071,0.9786,0.0143,0.0107,41781
"05103950300","Census Tract 9503, Ouachita County, Arkansas",6e-04,0.3418,0.6471,0.0104,0.0112,48348
"05113950100","Census Tract 9501, Polk County, Arkansas",0.0025,0,0.9726,0.0249,0.0215,35968
"05119003703","Census Tract 37.03, Pulaski County, Arkansas",0,0.1231,0.7964,0.0805,0.0472,65948
"05119003712","Census Tract 37.12, Pulaski County, Arkansas",0,0.1121,0.8667,0.0212,0.0347,95517
"05119004104","Census Tract 41.04, Pulaski County, Arkansas",0.0051,0.395,0.5356,0.0643,0.2329,49505
"05119004207","Census Tract 42.07, Pulaski County, Arkansas",0.1112,0.1183,0.7414,0.0291,0.0512,80164
"05121960100","Census Tract 9601, Randolph County, Arkansas",7e-04,0.0097,0.9654,0.0243,0.0094,36750
"05121960200","Census Tract 9602, Randolph County, Arkansas",0,0.004,0.9511,0.0449,0.0238,40609
"05127950200","Census Tract 9502, Scott County, Arkansas",0.0074,0.001,0.8833,0.1083,0.118,29074
"05131001001","Census Tract 10.01, Sebastian County, Arkansas",0.0292,0.1277,0.7134,0.1297,0.0805,46429
"05135470100","Census Tract 4701, Sharp County, Arkansas",0.0043,0.0095,0.9414,0.0448,0.0372,29023
"05143010101","Census Tract 101.01, Washington County, Arkansas",0.0146,0.0032,0.8462,0.136,0.1312,49110
"05143010104","Census Tract 101.04, Washington County, Arkansas",0.0124,0.0589,0.8889,0.0398,0.0361,53808
"05143010106","Census Tract 101.06, Washington County, Arkansas",0.0251,0.0465,0.8753,0.0532,0.0692,49909
"05143010200","Census Tract 102, Washington County, Arkansas",0.001,0.0151,0.5706,0.4133,0.5834,42433
"05143010301","Census Tract 103.01, Washington County, Arkansas",0.0054,0.0681,0.6254,0.3011,0.3634,44096
"05143010302","Census Tract 103.02, Washington County, Arkansas",0.0286,0.0289,0.4702,0.4722,0.5432,44233
"05143010401","Census Tract 104.01, Washington County, Arkansas",0.0222,0.0402,0.5595,0.3781,0.3647,56168
"05143010403","Census Tract 104.03, Washington County, Arkansas",0.0245,0.0066,0.6847,0.2842,0.3182,51636
"05143010506","Census Tract 105.06, Washington County, Arkansas",0.0541,0.0554,0.7724,0.1181,0.0942,54295
"05143011003","Census Tract 110.03, Washington County, Arkansas",0,0.0014,0.9722,0.0264,0.0111,58306
"06001427800","Census Tract 4278, Alameda County, California",0.217,0.0476,0.5676,0.1677,0.0987,106477
"06001443002","Census Tract 4430.02, Alameda County, California",0.5818,0.0299,0.2179,0.1704,0.1749,107930
"06001450743","Census Tract 4507.43, Alameda County, California",0.6083,0.0534,0.2332,0.105,0.0579,128737
"06007000401","Census Tract 4.01, Butte County, California",0.0719,0.0017,0.796,0.1304,0.2246,76321
"06007001702","Census Tract 17.02, Butte County, California",0.015,0,0.8704,0.1145,0.0629,57609
"06009000120","Census Tract 1.20, Calaveras County, California",0.0121,0.0179,0.9176,0.0524,0.1165,82575
"06013336101","Census Tract 3361.01, Contra Costa County, California",0.1419,0.046,0.3415,0.4706,0.5657,69022
"06019002601","Census Tract 26.01, Fresno County, California",0.0789,0.0038,0.7091,0.2082,0.8765,31982
"06019008401","Census Tract 84.01, Fresno County, California",3e-04,0,0.6538,0.3458,0.9075,36685
"06037117530","Census Tract 1175.30, Los Angeles County, California",0.1098,0.0185,0.2832,0.5885,0.7968,55483
"06037123901","Census Tract 1239.01, Los Angeles County, California",0.0816,0.0692,0.5253,0.3239,0.5147,66771
"06037128601","Census Tract 1286.01, Los Angeles County, California",0.0817,0.0542,0.5356,0.3285,0.4585,48173
"06037131020","Census Tract 1310.20, Los Angeles County, California",0.0822,0.0504,0.4742,0.3932,0.6963,66875
"06037189701","Census Tract 1897.01, Los Angeles County, California",0.1022,0.0533,0.7577,0.0867,0.1004,100256
"06037189902","Census Tract 1899.02, Los Angeles County, California",0.1525,0.0255,0.7708,0.0512,0.0966,63214
"06037228100","Census Tract 2281, Los Angeles County, California",0.0027,0.0592,0.5477,0.3904,0.9355,47444
"06037261101","Census Tract 2611.01, Los Angeles County, California",0.0525,0.0227,0.8944,0.0304,0.0664,199094
"06037265410","Census Tract 2654.10, Los Angeles County, California",0.097,0,0.8482,0.0548,0.0649,117885
"06037265700","Census Tract 2657, Los Angeles County, California",0.0772,0.0198,0.7806,0.1223,0.0811,85083
"06037272301","Census Tract 2723.01, Los Angeles County, California",0.1445,0.0384,0.6791,0.1379,0.2808,84583
"06037403402","Census Tract 4034.02, Los Angeles County, California",0.5485,0.0264,0.1992,0.2259,0.2521,84906
"06037405201","Census Tract 4052.01, Los Angeles County, California",0.1622,0.0339,0.4547,0.3493,0.7421,56705
"06037430400","Census Tract 4304, Los Angeles County, California",0.6241,0.0308,0.3197,0.0254,0.0679,128298
"06037500201","Census Tract 5002.01, Los Angeles County, California",0.0755,0.004,0.7695,0.151,0.3043,114831
"06037532304","Census Tract 5323.04, Los Angeles County, California",0.0032,0.1067,0.6399,0.2502,0.8146,44113
"06037532400","Census Tract 5324, Los Angeles County, California",0,0.0222,0.3778,0.6,0.8,42188
"06037540700","Census Tract 5407, Los Angeles County, California",0.0068,0.2505,0.513,0.2297,0.7071,44623
"06037554517","Census Tract 5545.17, Los Angeles County, California",0.718,0.0246,0.1286,0.1288,0.102,106354
"06037576601","Census Tract 5766.01, Los Angeles County, California",0.0242,0.1037,0.6674,0.2048,0.3065,55768
"06037603200","Census Tract 6032, Los Angeles County, California",0.3686,0.1282,0.2216,0.2817,0.3435,83899
"06037650602","Census Tract 6506.02, Los Angeles County, California",0.5679,0.0571,0.295,0.08,0.112,80379
"06037701000","Census Tract 7010, Los Angeles County, California",0.0689,0.0111,0.8292,0.0908,0.0347,100391
"06037702502","Census Tract 7025.02, Los Angeles County, California",0.1461,0.1714,0.6002,0.0822,0.1602,86959
"06053011400","Census Tract 114, Monterey County, California",0.0347,0.0379,0.7837,0.1437,0.2853,55764
"06055200201","Census Tract 2002.01, Napa County, California",0.0094,0.0057,0.8379,0.1471,0.4187,79013
"06059052518","Census Tract 525.18, Orange County, California",0.3144,0.0119,0.6234,0.0503,0.0914,99474
"06059062604","Census Tract 626.04, Orange County, California",0.3113,0.0035,0.6352,0.05,0.0756,146472
"06059062643","Census Tract 626.43, Orange County, California",0.25,0,0.6659,0.0841,0.0445,250001
"06059063907","Census Tract 639.07, Orange County, California",0.2642,0.0668,0.5084,0.1606,0.2388,99250
"06059075515","Census Tract 755.15, Orange County, California",0.394,0.0164,0.3615,0.228,0.2839,88761
"06061021003","Census Tract 210.03, Placer County, California",0.0649,0.0217,0.8192,0.0942,0.1793,77798
"06061021309","Census Tract 213.09, Placer County, California",0.1518,0.019,0.746,0.0833,0.1283,131036
"06061023200","Census Tract 232, Placer County, California",0.1438,0.0312,0.7328,0.0922,0.1665,109885
"06065031701","Census Tract 317.01, Riverside County, California",0.1169,0.0545,0.4524,0.3762,0.6017,54960
"06065040815","Census Tract 408.15, Riverside County, California",0.2457,0.1318,0.4707,0.1518,0.3568,84291
"06065042210","Census Tract 422.10, Riverside County, California",0.1456,0.0727,0.4819,0.2998,0.4545,35929
"06065042620","Census Tract 426.20, Riverside County, California",0.0795,0.1433,0.3137,0.4634,0.6928,75853
"06065044807","Census Tract 448.07, Riverside County, California",0.0664,0.0371,0.8331,0.0633,0.2004,60417
"06065044926","Census Tract 449.26, Riverside County, California",0.1239,0.037,0.6186,0.2205,0.6861,39965
"06065045125","Census Tract 451.25, Riverside County, California",0.032,0.0123,0.9275,0.0282,0.0494,123792
"06065046401","Census Tract 464.01, Riverside County, California",0.0526,0.0143,0.689,0.2442,0.4425,72310
"06065050600","Census Tract 506, Riverside County, California",0.0164,0.1031,0.7767,0.1038,0.2802,89479
"06067008136","Census Tract 81.36, Sacramento County, California",0.0742,0.0159,0.8675,0.0425,0.1141,57212
"06071002033","Census Tract 20.33, San Bernardino County, California",0.1777,0.0874,0.5539,0.181,0.4088,99972
"06071008403","Census Tract 84.03, San Bernardino County, California",0.0705,0.1179,0.7449,0.0668,0.1755,97163
"06071010415","Census Tract 104.15, San Bernardino County, California",0.0884,0.0591,0.7096,0.143,0.1774,53483
"06073016401","Census Tract 164.01, San Diego County, California",0.0315,0.0197,0.7951,0.1537,0.2745,80272
"06073017030","Census Tract 170.30, San Diego County, California",0.3613,0.0206,0.5523,0.0659,0.0624,139233
"06073019405","Census Tract 194.05, San Diego County, California",0.0158,0.032,0.866,0.0861,0.6402,72217
"06073020707","Census Tract 207.07, San Diego County, California",0.0385,0.0139,0.7509,0.1968,0.5057,52244
"06081601200","Census Tract 6012, San Mateo County, California",0.5042,0.0128,0.3003,0.1827,0.269,94336
"06081603802","Census Tract 6038.02, San Mateo County, California",0.2845,0.0071,0.5686,0.1399,0.1763,131920
"06081608300","Census Tract 6083, San Mateo County, California",0.5405,0.0513,0.3633,0.0449,0.0879,162111
"06085501700","Census Tract 5017, Santa Clara County, California",0.0247,0.0106,0.2421,0.7226,0.7814,54797
"06087122400","Census Tract 1224, Santa Cruz County, California",0.0206,0.0033,0.7903,0.1859,0.1948,113352
"06089011403","Census Tract 114.03, Shasta County, California",0.0541,0.0094,0.8308,0.1057,0.0402,79946
"06095252201","Census Tract 2522.01, Solano County, California",0.2308,0.0779,0.5202,0.1711,0.1238,129600
"06097150612","Census Tract 1506.12, Sonoma County, California",0.0366,0.0047,0.879,0.0798,0.1112,109028
"06099000404","Census Tract 4.04, Stanislaus County, California",0.0744,0,0.7382,0.1874,0.3011,58483
"06099003904","Census Tract 39.04, Stanislaus County, California",0.0105,0.0026,0.8338,0.1531,0.4757,49129
"06111007202","Census Tract 72.02, Ventura County, California",0.081,0.0115,0.8212,0.0864,0.123,150844
"06111007607","Census Tract 76.07, Ventura County, California",0.0878,0.0264,0.7716,0.1142,0.1339,143017
"06113011206","Census Tract 112.06, Yolo County, California",0.1301,0.0088,0.751,0.11,0.3109,94253
"08001008401","Census Tract 84.01, Adams County, Colorado",0.0058,0.0054,0.9343,0.0544,0.1828,70694
"08001008508","Census Tract 85.08, Adams County, Colorado",0.033,0.0019,0.854,0.1111,0.2491,82472
"08001008545","Census Tract 85.45, Adams County, Colorado",0.056,0.0223,0.8599,0.0618,0.1722,109850
"08001061200","Census Tract 612, Adams County, Colorado",0.0826,0.0064,0.858,0.053,0.1542,136477
"08005080400","Census Tract 804, Arapahoe County, Colorado",0.0578,0.1953,0.6506,0.0962,0.0758,70846
"08005081300","Census Tract 813, Arapahoe County, Colorado",0.0625,0.1211,0.7147,0.1018,0.3325,62017
"08005087200","Census Tract 872, Arapahoe County, Colorado",0.0531,0.2091,0.6586,0.0792,0.1045,56458
"08011966700","Census Tract 9667, Bent County, Colorado",0.0021,0.0411,0.9136,0.0432,0.3205,30900
"08031006901","Census Tract 69.01, Denver County, Colorado",0.0189,0.0846,0.762,0.1345,0.1984,51451
"08031980000","Census Tract 9800, Denver County, Colorado",0.0111,0.3144,0.5708,0.1036,0.2875,54125
"08041006700","Census Tract 67, El Paso County, Colorado",0.0099,0.008,0.9384,0.0437,0.0409,62833
"08059012033","Census Tract 120.33, Jefferson County, Colorado",0.011,0.0128,0.9531,0.0231,0.0423,118625
"08069002502","Census Tract 25.02, Larimer County, Colorado",0.0031,0.0077,0.9498,0.0394,0.0821,91713
"08117000100","Census Tract 1, Summit County, Colorado",0,0.0331,0.9115,0.0553,0.1557,77692
"08123001409","Census Tract 14.09, Weld County, Colorado",0.0153,0.0264,0.8453,0.113,0.3313,65938
"08123001411","Census Tract 14.11, Weld County, Colorado",0.0141,0,0.94,0.0459,0.2792,64702
"08123002017","Census Tract 20.17, Weld County, Colorado",0,0,1,0,0.0278,146591
"09001010101","Census Tract 101.01, Fairfield County, Connecticut",0.045,0.0318,0.9069,0.0164,0.0443,176875
"09001010102","Census Tract 101.02, Fairfield County, Connecticut",0.0729,0.0138,0.8823,0.031,0.0593,250001
"09001010201","Census Tract 102.01, Fairfield County, Connecticut",0.0729,0.0072,0.897,0.0229,0.1076,250001
"09001010202","Census Tract 102.02, Fairfield County, Connecticut",0.1302,0.0054,0.8263,0.038,0.0732,222839
"09001010300","Census Tract 103, Fairfield County, Connecticut",0.0653,0.0325,0.8743,0.0278,0.0513,238750
"09001010400","Census Tract 104, Fairfield County, Connecticut",0.0597,0.0916,0.8101,0.0386,0.0436,116222
"09001010500","Census Tract 105, Fairfield County, Connecticut",0.0692,0.0838,0.7709,0.076,0.2959,91556
"09001010600","Census Tract 106, Fairfield County, Connecticut",0.0703,0.1368,0.7362,0.0567,0.0936,104868
"09001010700","Census Tract 107, Fairfield County, Connecticut",0.0721,0.0843,0.7798,0.0638,0.1839,61667
"09001010800","Census Tract 108, Fairfield County, Connecticut",0.0721,0.0017,0.8868,0.0394,0.1287,136495
"09001010900","Census Tract 109, Fairfield County, Connecticut",0.1671,0.0367,0.7423,0.0539,0.1194,164063
"09001011000","Census Tract 110, Fairfield County, Connecticut",0.0362,0.0065,0.906,0.0513,0.1241,236000
"09001011100","Census Tract 111, Fairfield County, Connecticut",0.0781,0.0017,0.8991,0.021,0.1083,250001
"09001011200","Census Tract 112, Fairfield County, Connecticut",0.0373,0.0012,0.8252,0.1364,0.1795,238068
"09001011300","Census Tract 113, Fairfield County, Connecticut",0.0451,0.019,0.7406,0.1953,0.5205,80882
"09001020100","Census Tract 201, Fairfield County, Connecticut",0.1286,0.216,0.5793,0.0762,0.1849,63514
"09001020200","Census Tract 202, Fairfield County, Connecticut",0.0756,0.0316,0.8488,0.044,0.0485,233750
"09001020300","Census Tract 203, Fairfield County, Connecticut",0.0392,0.0225,0.8977,0.0406,0.1021,196250
"09001020400","Census Tract 204, Fairfield County, Connecticut",0.0985,0.0217,0.7968,0.083,0.1576,170972
"09001020500","Census Tract 205, Fairfield County, Connecticut",0.0233,0.0475,0.867,0.0622,0.0749,186324
"09001020600","Census Tract 206, Fairfield County, Connecticut",0.1439,0.0419,0.7696,0.0446,0.1168,144519
"09001020700","Census Tract 207, Fairfield County, Connecticut",0.037,0.0304,0.8747,0.0579,0.1047,131897
"09001020800","Census Tract 208, Fairfield County, Connecticut",0.0944,0.0207,0.8432,0.0417,0.0579,168846
"09001020900","Census Tract 209, Fairfield County, Connecticut",0.0961,0.0769,0.7576,0.0695,0.2695,64044
"09001021000","Census Tract 210, Fairfield County, Connecticut",0.0797,0.0751,0.8073,0.0379,0.08,133988
"09001021100","Census Tract 211, Fairfield County, Connecticut",0.0821,0.1756,0.6791,0.0632,0.261,103810
"09001021200","Census Tract 212, Fairfield County, Connecticut",0.09,0.0365,0.8093,0.0642,0.1651,138686
"09001021300","Census Tract 213, Fairfield County, Connecticut",0.0759,0.1996,0.6273,0.0973,0.1952,112188
"09001021400","Census Tract 214, Fairfield County, Connecticut",0.0686,0.2042,0.5864,0.1408,0.52,46566
"09001021500","Census Tract 215, Fairfield County, Connecticut",0.0376,0.3688,0.2994,0.2943,0.5099,43357
"09001021600","Census Tract 216, Fairfield County, Connecticut",0.307,0.1202,0.4084,0.1645,0.2039,85420
"09001021700","Census Tract 217, Fairfield County, Connecticut",0.1623,0.2063,0.5323,0.0991,0.1927,86705
"09001021801","Census Tract 218.01, Fairfield County, Connecticut",0.1454,0.0374,0.6687,0.1485,0.3135,99112
"09001021802","Census Tract 218.02, Fairfield County, Connecticut",0.0666,0.153,0.4688,0.3116,0.5155,68599
"09001021900","Census Tract 219, Fairfield County, Connecticut",0.044,0.1424,0.665,0.1486,0.3649,66250
"09001022000","Census Tract 220, Fairfield County, Connecticut",0.0148,0.1294,0.7231,0.1328,0.3658,82753
"09001022100","Census Tract 221, Fairfield County, Connecticut",0.0075,0.201,0.5068,0.2847,0.517,58273
"09001022200","Census Tract 222, Fairfield County, Connecticut",0.0522,0.1658,0.5828,0.1991,0.3639,91996
"09001022300","Census Tract 223, Fairfield County, Connecticut",0.0274,0.3847,0.4111,0.1769,0.4082,80816
"09001022400","Census Tract 224, Fairfield County, Connecticut",0.0364,0.0033,0.9482,0.0121,0.0756,189712
"09001030100","Census Tract 301, Fairfield County, Connecticut",0.0235,0.0091,0.966,0.0014,0.0599,250001
"09001030200","Census Tract 302, Fairfield County, Connecticut",0.0648,0,0.9035,0.0317,0.0381,250001
"09001030300","Census Tract 303, Fairfield County, Connecticut",0.0226,0.0093,0.9483,0.0198,0.0191,250001
"09001030400","Census Tract 304, Fairfield County, Connecticut",0.0901,0.0129,0.8731,0.0239,0.0389,145625
"09001030500","Census Tract 305, Fairfield County, Connecticut",0.0695,0.0099,0.8805,0.0402,0.0494,192222
"09001035100","Census Tract 351, Fairfield County, Connecticut",0.0513,0.0287,0.8967,0.0233,0.0813,128623
"09001035300","Census Tract 353, Fairfield County, Connecticut",0.0861,0.0138,0.8795,0.0206,0.0466,250001
"09001035400","Census Tract 354, Fairfield County, Connecticut",0.0279,6e-04,0.9393,0.0322,0.0182,250001
"09001042500","Census Tract 425, Fairfield County, Connecticut",0.0211,0.0933,0.865,0.0206,0.0818,129821
"09001042600","Census Tract 426, Fairfield County, Connecticut",0.0602,0.1281,0.7828,0.0289,0.1575,113594
"09001042700","Census Tract 427, Fairfield County, Connecticut",0.0806,0.1077,0.7507,0.061,0.1514,95948
"09001042800","Census Tract 428, Fairfield County, Connecticut",0.0694,0.0721,0.8317,0.0268,0.1652,100813
"09001042900","Census Tract 429, Fairfield County, Connecticut",0.0039,0.0342,0.9355,0.0264,0.0677,138542
"09001043000","Census Tract 430, Fairfield County, Connecticut",0.0234,0.0878,0.7986,0.0902,0.2382,122633
"09001043100","Census Tract 431, Fairfield County, Connecticut",0.0872,0.079,0.7392,0.0946,0.1255,143141
"09001043200","Census Tract 432, Fairfield County, Connecticut",0.058,0.1659,0.7137,0.0624,0.3132,69837
"09001043300","Census Tract 433, Fairfield County, Connecticut",0.0826,0.187,0.6423,0.0881,0.3308,83672
"09001043400","Census Tract 434, Fairfield County, Connecticut",0.1528,0.1012,0.681,0.065,0.3111,77917
"09001043500","Census Tract 435, Fairfield County, Connecticut",0.0193,0.0923,0.8629,0.0254,0.1695,104417
"09001043600","Census Tract 436, Fairfield County, Connecticut",0.0762,0.1391,0.7247,0.06,0.1323,98636
"09001043700","Census Tract 437, Fairfield County, Connecticut",0.0598,0.1558,0.6822,0.1022,0.3818,71178
"09001043800","Census Tract 438, Fairfield County, Connecticut",0.0723,0.1631,0.6519,0.1127,0.4196,74397
"09001043900","Census Tract 439, Fairfield County, Connecticut",0.1036,0.1148,0.6655,0.1162,0.3287,89506
"09001044000","Census Tract 440, Fairfield County, Connecticut",0.0182,0.1797,0.6885,0.1135,0.5065,51875
