"id","name","plaintiff","amount","date","attorney"
"09001045102","Census Tract 451.02, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1893.8,2020-01-17,"no"
"09001073400","Census Tract 734, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2567.34,2020-02-03,"no"
"09001081200","Census Tract 812, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3148.21,2020-02-05,"no"
"09001072900","Census Tract 729, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2788.82,2020-02-11,"no"
"09001072800","Census Tract 728, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3046.98,2020-02-18,"no"
"09001230400","Census Tract 2304, Fairfield County, Connecticut","MIDLAND CREDIT MANAGEMENT, INC",717.66,2020-01-16,"no"
"09001210600","Census Tract 2106, Fairfield County, Connecticut","LVNV FUNDING LLC ASSIGNEE OF CREDIT ONE BANK, N.A.",951.67,2020-06-23,"no"
"09001210200","Census Tract 2102, Fairfield County, Connecticut","PORTFOLIO RECOVERY ASSOCIATES, LLC",2806.55,2020-11-03,"no"
"09001240200","Census Tract 2402, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4838.11,2020-01-29,"no"
"09001210900","Census Tract 2109, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1947.19,2020-01-15,"no"
"09001230100","Census Tract 2301, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2572.58,2020-04-21,"no"
"09001210400","Census Tract 2104, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2116.94,2020-03-10,"no"
"09001210400","Census Tract 2104, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1784.47,2020-03-16,"no"
"09001230400","Census Tract 2304, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2565.01,2020-10-14,"no"
"09003484100","Census Tract 4841, Hartford County, Connecticut","LVNV FUNDING, LLC",949.62,2020-07-07,"no"
"09003497300","Census Tract 4973, Hartford County, Connecticut","MIDLAND CREDIT MANAGEMENT, LLC",4197.13,2020-08-03,"no"
"09003524400","Census Tract 5244, Hartford County, Connecticut","MIDLAND FUNDING LLC",2807.72,2020-01-24,"no"
"09003496200","Census Tract 4962, Hartford County, Connecticut","PORTFOLIO RECOVERY ASSOCIATES, LLC",2276.76,2020-10-14,"no"
"09003501500","Census Tract 5015, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3739.06,2020-01-10,"no"
"09003503500","Census Tract 5035, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2273.53,2020-01-13,"no"
"09003481200","Census Tract 4812, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3856.74,2020-01-27,"no"
"09003480600","Census Tract 4806, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2920.15,2020-01-21,"no"
"09003460204","Census Tract 4602.04, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2661.01,2020-01-21,"no"
"09003524400","Census Tract 5244, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1784.12,2020-02-18,"no"
"09003524300","Census Tract 5243, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1649.69,2020-02-21,"no"
"09003524300","Census Tract 5243, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2579.17,2020-02-21,"no"
"09003503300","Census Tract 5033, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1769.21,2020-10-16,"no"
"09003514600","Census Tract 5146, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3862.37,2020-11-03,"no"
"09003511000","Census Tract 5110, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2424.04,2020-09-21,"no"
"09003496200","Census Tract 4962, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4858.97,2020-09-22,"no"
"09003480500","Census Tract 4805, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1257.27,2020-05-20,"no"
"09003503100","Census Tract 5031, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2269.74,2020-06-01,"no"
"09003514200","Census Tract 5142, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2056.53,2020-08-17,"no"
"09003524100","Census Tract 5241, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2952.28,2020-08-25,"no"
"09003484100","Census Tract 4841, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1562.17,2020-08-31,"no"
"09003484100","Census Tract 4841, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2741,2020-03-16,"no"
"09003510200","Census Tract 5102, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1372.68,2020-03-09,"no"
"09003481000","Census Tract 4810, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3414.45,2020-03-09,"no"
"09003496600","Census Tract 4966, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2076.95,2020-02-24,"no"
"09003524600","Census Tract 5246, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1409.53,2020-04-24,"no"
"09003487201","Census Tract 4872.01, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4328.25,2020-04-14,"no"
"09003473700","Census Tract 4737, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1318,2020-03-31,"no"
"09003511100","Census Tract 5111, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3942.76,2020-03-31,"no"
"09003481000","Census Tract 4810, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1479.6,2020-03-31,"no"
"09003502300","Census Tract 5023, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2219.13,2020-03-31,"no"
"09003487202","Census Tract 4872.02, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3380.03,2020-04-21,"no"
"09003511400","Census Tract 5114, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4135.84,2020-05-05,"no"
"09005360400","Census Tract 3604, Litchfield County, Connecticut","LVNV FUNDING LLC ASSIGNEE OF CREDIT ONE BANK, N.A.",1084.83,2020-11-03,"no"
"09005342100","Census Tract 3421, Litchfield County, Connecticut","LVNV FUNDING LLC AS SUCCESSOR IN INTEREST TO CREDIT ONE BANK, N.A.",1014.76,2020-01-31,"no"
"09005342100","Census Tract 3421, Litchfield County, Connecticut","CAVALRY SPV I, LLC",1274.89,2020-01-09,"no"
"09005310803","Census Tract 3108.03, Litchfield County, Connecticut","PORTFOLIO RECOVERY ASSOCIATES, LLC",4647.03,2020-09-11,"no"
"09005296100","Census Tract 2961, Litchfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2576.77,2020-02-21,"no"
"09005306100","Census Tract 3061, Litchfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2669.43,2020-05-12,"no"
"09005310100","Census Tract 3101, Litchfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1984.08,2020-08-25,"no"
"09005320200","Census Tract 3202, Litchfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1657.18,2020-06-26,"no"
"09005310300","Census Tract 3103, Litchfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1329.12,2020-10-20,"no"
"09009155000","Census Tract 1550, New Haven County, Connecticut","BRAHIM ABARKHA",1700,2020-03-05,"no"
"09009167100","Census Tract 1671, New Haven County, Connecticut","CREDIT CORP SOLUTIONS INC ASSIGNEE OF SYNCHRONY BANK",2752.17,2020-06-19,"no"
"09009170800","Census Tract 1708, New Haven County, Connecticut","LVNV FUNDING, LLC",986.23,2020-08-17,"no"
"09009165500","Census Tract 1655, New Haven County, Connecticut","LVNV FUNDING,LLC",3160.56,2020-05-26,"no"
"09009171100","Census Tract 1711, New Haven County, Connecticut","LVNV FUNDING LLC ASSIGNEE OF CREDIT ONE BANK, N.A.",650.09,2020-04-01,"no"
"09009171200","Census Tract 1712, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2258.78,2020-02-21,"no"
"09009167100","Census Tract 1671, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1310.84,2020-03-11,"no"
"09009165500","Census Tract 1655, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4642.72,2020-05-14,"no"
"09009171300","Census Tract 1713, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1197.22,2020-10-08,"no"
"09009171500","Census Tract 1715, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1327.68,2020-09-30,"no"
"09009171300","Census Tract 1713, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",5000,2020-10-19,"no"
"09009171200","Census Tract 1712, New Haven County, Connecticut","LVMV FUNDING, LLC",710.11,2020-06-29,"no"
"09007590100","Census Tract 5901, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2701.65,2020-02-18,"no"
"09007580100","Census Tract 5801, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4185.34,2020-10-28,"no"
"09007590100","Census Tract 5901, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1530.25,2020-09-28,"no"
"09007541300","Census Tract 5413, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1595.64,2020-06-30,"no"
"09007580100","Census Tract 5801, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4889.03,2020-08-11,"no"
"09007550201","Census Tract 5502.01, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4095.12,2020-05-15,"no"
"09007560100","Census Tract 5601, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3142.28,2020-05-12,"no"
"09007541100","Census Tract 5411, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3566.68,2020-05-14,"no"
"09007570100","Census Tract 5701, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2186.27,2020-03-19,"no"
"09007542000","Census Tract 5420, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1387.65,2020-02-21,"no"
"09007541500","Census Tract 5415, Middlesex County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2961.4,2020-03-09,"no"
"09009125100","Census Tract 1251, New Haven County, Connecticut","MIDLAND CREDIT MANAGEMENT, LLC",4123.51,2020-06-16,"no"
"09009150300","Census Tract 1503, New Haven County, Connecticut","PORTFOLIO RECOVERY ASSOCIATES, LLC",611.89,2020-05-22,"no"
"09009154100","Census Tract 1541, New Haven County, Connecticut","LVNV FUNDING LLC",749.34,2020-04-13,"no"
"09009341100","Census Tract 3411, New Haven County, Connecticut","LVNV FUNDING LLC ASSIGNEE OF CREDIT ONE BANK, N.A.",1186.93,2020-06-23,"no"
"09009341100","Census Tract 3411, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3104.51,2020-02-13,"no"
"09009120200","Census Tract 1202, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3133.21,2020-05-05,"no"
"09009125200","Census Tract 1252, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2535.48,2020-05-05,"no"
"09009130101","Census Tract 1301.01, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2532.92,2020-04-03,"no"
"09009346101","Census Tract 3461.01, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1413.57,2020-04-17,"no"
"09009125200","Census Tract 1252, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1549.51,2020-06-22,"no"
"09009154200","Census Tract 1542, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1791.21,2020-06-30,"no"
"09001110201","Census Tract 1102.01, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1945.85,2020-08-17,"no"
"09009157100","Census Tract 1571, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3281.24,2020-09-30,"no"
"09009151100","Census Tract 1511, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2339.28,2020-09-22,"no"
"09009150500","Census Tract 1505, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2418.38,2020-09-22,"no"
"09009150500","Census Tract 1505, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1892.71,2020-09-22,"no"
"09009125200","Census Tract 1252, New Haven County, Connecticut","LVNV FUNDING LLC SUCCESSOR IN INTEREST TO CREDIT ONE BANK, N.A.",968.23,2020-01-30,"no"
"09003415600","Census Tract 4156, Hartford County, Connecticut","LVNV FUNDING, LLC",1888.4,2020-06-11,"no"
NA,NA,"ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4780.17,2020-02-21,"yes"
"09003415800","Census Tract 4158, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3168.41,2020-01-27,"no"
"09005425400","Census Tract 4254, Litchfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3642.99,2020-11-03,"no"
"09005425400","Census Tract 4254, Litchfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1294.7,2020-11-09,"no"
"09003405700","Census Tract 4057, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4098.16,2020-10-16,"no"
NA,NA,"ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1745.92,2020-06-30,"yes"
"09003415300","Census Tract 4153, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4152.51,2020-06-10,"no"
"09003415300","Census Tract 4153, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2865.18,2020-06-04,"no"
"09003415500","Census Tract 4155, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1436.07,2020-04-17,"no"
"09003400100","Census Tract 4001, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1282.7,2020-04-24,"no"
"09003430602","Census Tract 4306.02, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1322.95,2020-03-31,"no"
"09003416200","Census Tract 4162, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1638.83,2020-05-08,"no"
"09003420500","Census Tract 4205, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2682.29,2020-02-24,"no"
"09003420500","Census Tract 4205, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4137.93,2020-02-28,"no"
"09003420600","Census Tract 4206, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3597.9,2020-03-16,"no"
"09003416000","Census Tract 4160, Hartford County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2355.84,2020-10-28,"no"
"09003416700","Census Tract 4167, Hartford County, Connecticut","LVNV FUNDING LLC",2134.14,2020-04-13,"no"
"09009167100","Census Tract 1671, New Haven County, Connecticut","CAVALRY SPV I, LLC",3534.53,2020-06-15,"no"
"09009341100","Census Tract 3411, New Haven County, Connecticut","LVNV FUNDING LLC ASSIGNEE OF CREDIT ONE BANK, N.A.",2726.56,2020-07-01,"no"
"09009140800","Census Tract 1408, New Haven County, Connecticut","PORTFOLIO RECOVERY ASSOCIATES",723.24,2020-11-05,"no"
"09009170500","Census Tract 1705, New Haven County, Connecticut","PORTFOLIO RECOVERY ASSOCIATES, LLC",1114.18,2020-06-30,"no"
"09009141600","Census Tract 1416, New Haven County, Connecticut","CROWN ASSET MANAGEMENT, LLC, ASSIGNEE OF COMENITY BANK",1551.24,2020-07-02,"no"
"09009190303","Census Tract 1903.03, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3239.9,2020-01-28,"no"
NA,NA,"ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2374.06,2020-01-15,"yes"
"09009186200","Census Tract 1862, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3664.8,2020-01-16,"no"
"09009180200","Census Tract 1802, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",5000,2020-03-17,"no"
"09009141400","Census Tract 1414, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1277.26,2020-03-13,"no"
"09009154800","Census Tract 1548, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4102.88,2020-03-20,"no"
"09009150500","Census Tract 1505, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3717.8,2020-03-31,"no"
"09009190100","Census Tract 1901, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3248.29,2020-02-24,"no"
"09009140500","Census Tract 1405, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2975.92,2020-02-24,"no"
"09009167300","Census Tract 1673, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1358.87,2020-03-09,"no"
"09009166002","Census Tract 1660.02, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3928.58,2020-03-09,"no"
"09009166001","Census Tract 1660.01, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1001.79,2020-03-09,"no"
"09009150300","Census Tract 1503, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2279.66,2020-05-08,"no"
"09009140900","Census Tract 1409, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2571.76,2020-05-05,"no"
"09009180100","Census Tract 1801, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3855.93,2020-05-14,"no"
"09009142700","Census Tract 1427, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4367.53,2020-03-31,"no"
"09009155000","Census Tract 1550, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4720.16,2020-04-27,"no"
"09009184100","Census Tract 1841, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1711.5,2020-04-27,"no"
"09009141300","Census Tract 1413, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1447.37,2020-04-27,"no"
"09009140100","Census Tract 1401, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1461.5,2020-04-29,"no"
"09009160200","Census Tract 1602, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2837.26,2020-06-09,"no"
"09009142000","Census Tract 1420, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3132.07,2020-06-10,"no"
"09009141000","Census Tract 1410, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1760.63,2020-07-07,"no"
"09009180300","Census Tract 1803, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1341.99,2020-07-15,"no"
"09009165500","Census Tract 1655, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",5000,2020-08-17,"no"
"09009171300","Census Tract 1713, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2209.98,2020-09-11,"no"
"09009155100","Census Tract 1551, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2350.49,2020-09-15,"no"
"09009167201","Census Tract 1672.01, New Haven County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4242.89,2020-09-21,"no"
"09011705101","Census Tract 7051.01, New London County, Connecticut","PORTFOLIO RECOVERY ASSOCIATES, LLC",1363.6,2020-09-15,"no"
"09011709200","Census Tract 7092, New London County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",5000,2020-01-15,"no"
"09011695201","Census Tract 6952.01, New London County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3383.06,2020-01-15,"no"
"09011702700","Census Tract 7027, New London County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2061.54,2020-02-21,"no"
"09011705101","Census Tract 7051.01, New London County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1947.47,2020-02-18,"no"
"09011870200","Census Tract 8702, New London County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",4992.32,2020-09-15,"no"
"09011701200","Census Tract 7012, New London County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1896.3,2020-09-22,"no"
"09011870100","Census Tract 8701, New London County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1329.91,2020-08-11,"no"
"09011716101","Census Tract 7161.01, New London County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2602.31,2020-06-23,"no"
"09011690500","Census Tract 6905, New London County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1454.52,2020-03-10,"no"
"09011702500","Census Tract 7025, New London County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1439.04,2020-03-20,"no"
"09015904100","Census Tract 9041, Windham County, Connecticut","LVNV FUNDING LLC ASSIGNEE OF WEBBANK",3264.99,2020-06-11,"no"
"09015800300","Census Tract 8003, Windham County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1529.68,2020-02-18,"no"
"09015815000","Census Tract 8150, Windham County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1426.24,2020-02-18,"no"
"09015907200","Census Tract 9072, Windham County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1750.12,2020-03-09,"no"
"09015903100","Census Tract 9031, Windham County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1871.12,2020-04-17,"no"
"09015800700","Census Tract 8007, Windham County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1343.72,2020-07-23,"no"
"09015800600","Census Tract 8006, Windham County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2701.9,2020-09-22,"no"
"09015906100","Census Tract 9061, Windham County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1551.33,2020-09-21,"no"
"09015904500","Census Tract 9045, Windham County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2763.97,2020-10-15,"no"
"09013526102","Census Tract 5261.02, Tolland County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2104.31,2020-10-14,"no"
"09013890202","Census Tract 8902.02, Tolland County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",5000,2020-10-14,"no"
"09013526101","Census Tract 5261.01, Tolland County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3249.31,2020-09-28,"no"
"09013528100","Census Tract 5281, Tolland County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",3978.15,2020-10-19,"no"
"09013530301","Census Tract 5303.01, Tolland County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2187.6,2020-07-23,"no"
"09013530301","Census Tract 5303.01, Tolland County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",2778.26,2020-03-24,"no"
"09013526101","Census Tract 5261.01, Tolland County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1450.39,2020-03-19,"no"
"09001021100","Census Tract 211, Fairfield County, Connecticut","SECOND ROUND SUB, LLC, ASSIGNEE OF SYNCHRONY BANK",1152.71,2020-07-06,"no"
"09001021100","Census Tract 211, Fairfield County, Connecticut","PORTFOLIO RECOVERY ASSOCIATES, LLC",2006.1,2020-06-25,"no"
"09001044000","Census Tract 440, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1751.96,2020-01-15,"no"
"09001021600","Census Tract 216, Fairfield County, Connecticut","ABSOLUTE RESOLUTIONS INVESTMENTS, LLC",1393.2,2020-01-22,"no"
